name,price,city,year
"3-комнатная квартира, 48 м², 1/2 этаж, Успенского — Сейфуллина/ Успенского",20000000,"Алматы, Турксибский р-н",1960
"1-комнатная квартира, 41 м², 1/5 этаж, мкр Мамыр-2 11 — Саина - Шаляпина",27000000,"Алматы, Ауэзовский р-н",1993
"2-комнатная квартира, 45 м², 4/5 этаж, Радостовца 15 — Богенбай Батыра",31200000,"Алматы, Алмалинский р-н",1977
"2-комнатная квартира, 43 м², мкр Орбита-3",34000000,"Алматы, Бостандыкский р-н",1976
"2-комнатная квартира, 68 м², 4/6 этаж, мкр Горный Гигант, Жамакаева",70000000,"Алматы, Медеуский р-н",2007
"2-комнатная квартира, 31.5 м², 2/5 этаж, Джандосова 82 — Угол Розыбакиева",16700000,"Алматы, Бостандыкский р-н",1983
"2-комнатная квартира, 58 м², 12/12 этаж, Абишева 36/1",34990000,"Алматы, Наурызбайский р-н",2019
"3-комнатная квартира, 61.6 м², 5/5 этаж, мкр Айнабулак-2 67 — Школа гимназия 118",29000000,"Алматы, Жетысуский р-н",1983
"2-комнатная квартира, 100 м², 4/9 этаж, мкр Таугуль, Навои 72",71800000,"Алматы, Ауэзовский р-н",2012
"2-комнатная квартира, 50.2 м², 2/5 этаж, Кожамкулова 110 — Пересечение Гоголя",42000000,Алматы,1977
"5-комнатная квартира, 225 м², 14 27/1",135000000,"Алматы, Бостандыкский р-н",2023
"2-комнатная квартира, 50.1 м², 3/15 этаж, Ауэзова 210/12",41000000,"Алматы, Алмалинский р-н",2022
"3-комнатная квартира, 91.4 м², мкр Таусамалы, Жандосова 70а",452430000%Рассрочка,"Алматы, Наурызбайский р-н",2023
"2-комнатная квартира, 65 м², 3/3 этаж, Жибек жолы — Байтурсынова",48000000,"Алматы, Алмалинский р-н",1949
"1-комнатная квартира, 42 м², 9/9 этаж, мкр Тастак-2 63",28500000,"Алматы, Алмалинский р-н",1987
"1-комнатная квартира, 37.6 м², Булкушева — Сейфуллина",21432000Ипека0%Рассрочка,"Алматы, Жетысуский р-н",2023
"4-комнатная квартира, 143.8 м², Алатауская трасса",57520000Ипека0%Рассрочка,Алматы,2023
"2-комнатная квартира, 69.4 м², Жарокова 370",589900000%Рассрочка,"Алматы, Бостандыкский р-н",2023
"3-комнатная квартира, 120.3 м², Момышулы, севернее ул. Монке би",409020007-20-25Ипека0%Рассрочка,"Алматы, Алатауский р-н",2023
"3-комнатная квартира, 121 м², Аль-Фараби 116/1",175450000Ипека0%Рассрочка,"Алматы, Медеуский р-н",2023
"3-комнатная квартира, 72 м², 1/9 этаж, мкр Аксай-4",44500000,"Алматы, Ауэзовский р-н",1988
"2-комнатная квартира, 61.1 м², 15/15 этаж, Ауэзова Райымбека 210/7",39000000,"Алматы, Алмалинский р-н",2023
